,Country/Region,New Cases,Total Cases,New Deaths,Total Deaths
0,Afghanistan,112,157144,1,7307
1,Albania,516,198292,5,3068
2,Algeria,161,209624,6,6041
3,Andorra,140,16566,0,131
4,Angola,25,65105,1,1732
5,Antigua and Barbuda,3,4141,0,117
6,Argentina,2260,5322127,22,116480
7,Armenia,592,336330,40,7419
8,Australia,1627,205269,7,1985
9,Austria,13592,1108889,53,12233
10,Azerbaijan,1880,580507,27,7736
11,Bahamas,0,22696,0,671
12,Bahrain,29,277510,0,1394
13,Bangladesh,237,1575185,9,27970
14,Barbados,0,24432,3,218
15,Belarus,1674,646743,15,5010
16,Belgium,20836,1679861,50,26793
17,Belize,93,30060,1,570
18,Benin,0,24850,0,161
19,Bhutan,0,2633,0,3
20,Bolivia,2328,533756,25,19121
21,Bosnia and Herzegovina,740,272063,26,12412
22,Botswana,257,194909,0,2416
23,Brazil,12126,22055238,303,613642
24,Brunei,0,14771,0,97
25,Bulgaria,2370,684922,113,27891
26,Burkina Faso,0,15514,0,265
27,Burma,482,520213,9,19058
28,Burundi,9,20360,0,38
29,Cabo Verde,2,38347,0,349
30,Cambodia,32,120009,4,2918
31,Cameroon,0,106794,0,1791
32,Canada,4223,1787542,20,29655
33,Central African Republic,0,11708,0,101
34,Chad,0,5107,0,175
35,Chile,2670,1751769,43,38218
36,China,19,111077,0,4849
37,Colombia,2644,5057897,54,128290
38,Comoros,0,4478,0,150
39,Congo (Brazzaville),0,18837,0,349
40,Congo (Kinshasa),0,58060,0,1104
41,Costa Rica,133,566429,4,7284
42,Cote d'Ivoire,5,61665,1,704
43,Croatia,6246,589015,64,10569
44,Cuba,240,961698,0,8299
45,Cyprus,0,131462,0,591
46,Czechia,18046,2062064,115,32523
47,Denmark,4443,471465,12,2854
48,Diamond Princess,0,712,0,13
49,Djibouti,1,13504,0,186
50,Dominica,177,5819,2,37
51,Dominican Republic,759,405513,2,4197
52,Ecuador,0,524432,0,33128
53,Egypt,899,353923,63,20172
54,El Salvador,0,118041,2,3764
55,Equatorial Guinea,0,13547,0,170
56,Eritrea,19,7269,1,58
57,Estonia,619,219878,10,1773
58,Eswatini,8,46514,0,1248
59,Ethiopia,174,370886,6,6714
60,Fiji,0,52474,0,695
61,Finland,1344,180878,0,1302
62,France,33510,7619656,72,119758
63,Gabon,0,37223,0,276
64,Gambia,1,9989,0,342
65,Georgia,4331,826714,57,11736
66,Germany,74579,5670253,357,100480
67,Ghana,0,130920,0,1209
68,Greece,6561,908222,81,17693
69,Grenada,0,5880,0,200
70,Guatemala,829,616554,15,15885
71,Guinea,0,30751,0,387
72,Guinea-Bissau,0,6438,0,146
73,Guyana,89,37613,3,983
74,Haiti,0,24974,0,723
75,Holy See,0,27,0,0
76,Honduras,0,377712,0,10401
77,Hungary,12165,1057017,185,33704
78,Iceland,142,17294,0,35
79,India,0,34544882,0,466980
80,Indonesia,372,4254815,16,143782
81,Iran,4850,6097672,96,129376
82,Iraq,743,2077665,23,23748
83,Ireland,4763,546909,0,5652
84,Israel,607,1341088,2,8182
85,Italy,13756,4968341,71,133486
86,Jamaica,56,90961,2,2367
87,Japan,112,1726186,2,18351
88,Jordan,4283,932539,30,11459
89,Kazakhstan,1063,1050700,19,17751
90,Kenya,46,254862,0,5332
91,Kiribati,0,2,0,0
92,"Korea, South",3899,432901,39,3440
93,Kosovo,12,161049,0,2983
94,Kuwait,26,413224,0,2465
95,Kyrgyzstan,70,183066,2,2734
96,Laos,1504,67322,1,143
97,Latvia,1095,250132,20,4083
98,Lebanon,1510,663779,9,8685
99,Lesotho,0,21735,0,662
100,Liberia,2,5821,0,287
101,Libya,732,370187,11,5425
102,Liechtenstein,36,4432,0,61
103,Lithuania,1964,462431,24,6627
104,Luxembourg,421,87773,2,864
105,MS Zaandam,0,9,0,2
106,Madagascar,0,44072,0,967
107,Malawi,5,61872,0,2304
108,Malaysia,6144,2608979,48,30195
109,Maldives,76,91122,0,248
110,Mali,48,17144,0,601
111,Malta,83,39011,2,466
112,Marshall Islands,0,4,0,0
113,Mauritania,69,38950,3,825
114,Mauritius,0,18979,0,240
115,Mexico,8415,3876391,599,293449
116,Micronesia,0,1,0,0
117,Moldova,855,361116,35,8985
118,Monaco,57,3669,0,36
119,Mongolia,586,380130,5,1981
120,Montenegro,310,156004,7,2275
121,Morocco,115,949378,0,14770
122,Mozambique,9,151512,0,1940
123,Namibia,7,129133,1,3572
124,Nepal,281,820285,3,11516
125,Netherlands,22239,2575172,61,19607
126,New Zealand,177,10967,1,42
127,Nicaragua,0,17152,0,212
128,Niger,19,6921,3,251
129,Nigeria,206,213883,1,2975
130,North Macedonia,473,213779,18,7492
131,Norway,2970,254367,1,1050
132,Oman,5,304519,0,4113
133,Pakistan,252,1283475,7,28697
134,Palau,0,8,0,0
135,Panama,202,476813,2,7360
136,Papua New Guinea,139,34846,0,542
137,Paraguay,80,462533,1,16366
138,Peru,3085,2229741,56,200987
